Gred,Skim Saraan
A1,SSPA
A2,SSPA
A5,SSPA
A6,SSPA
A7,SSPA
AA01,SSPA
AA19,SSM
AA22,SSM
AA48,SSM
AL10,SSPA
AL12,SSPA
AL54,SSM
AL9,SSPA
B1,SSPA
B10,SSPA
B12,SSPA
B2,SSPA
B3,SSPA
B5,SSPA
B9,SSPA
BA19,SSM
BA21,SSM
BA22,SSM
BA29,SSM
BA41,SSM
C1,SSPA
C10,SSPA
C12,SSPA
C13,SSPA
C14,SSPA
C2,SSPA
C3,SSPA
C5,SSPA
C6,SSPA
C7,SSPA
C9,SSPA
CA19,SSM
CA41,SSM
DG1,SSPA
DG10,SSPA
DG12,SSPA
DG4,SSPA
DG5,SSPA
DG6,SSPA
DG9,SSPA
DV1,SSPA
DV19,SSM
DV29,SSM
DV38,SSM
E1,SSPA
E10,SSPA
E12,SSPA
E14,SSPA
E2,SSPA
E5,SSPA
E6,SSPA
E9,SSPA
EA22,SSM
EA29,SSM
EA41,SSM
F10,SSPA
F12,SSPA
F13,SSPA
F14,SSPA
F5,SSPA
F6,SSPA
F7,SSPA
F9,SSPA
FA29,SSM
FA32,SSM
FA41,SSM
FT1,SSPA
FT19,SSM
FT2,SSPA
FT3,SSPA
G1,SSPA
G10,SSPA
G11,SSPA
G12,SSPA
G13,SSPA
G14,SSPA
G2,SSPA
G3,SSPA
G5,SSPA
G6,SSPA
G7,SSPA
G9,SSPA
GA11,SSPA
GA14,SSPA
GA19,SSM
GA22,SSM
GA26,SSM
GA29,SSM
GA41,SSM
GA44,SSM
Gred,SSPA
GV10,SSPA
GV12,SSPA
GV13,SSPA
GV14,SSPA
GV52,SSM
GV9,SSPA
H1,SSPA
H11,SSPA
H2,SSPA
H3,SSPA
HA11,SSPA
HA14,SSPA
HA19,SSM
HA22,SSM
HA26,SSM
J1,SSPA
J10,SSPA
J12,SSPA
J13,SSPA
J14,SSPA
J2,SSPA
J3,SSPA
J5,SSPA
J6,SSPA
J7,SSPA
J9,SSPA
JA1,SSPA
JA17,SSM
JA19,SSM
JA22,SSM
JA26,SSM
JA29,SSM
JA36,SSM
JA38,SSM
JA41,SSM
JA44,SSM
JA48,SSM
JA52,SSM
K1,SSPA
K2,SSPA
K5,SSPA
KP1,SSPA
KP10,SSPA
KP11,SSPA
KP12,SSPA
KP14,SSPA
KP19,SSM
KP2,SSPA
KP22,SSM
KP26,SSM
KP29,SSM
KP3,SSPA
KP32,SSM
KP41,SSM
KP5,SSPA
KP6,SSPA
KP7,SSPA
KP9,SSPA
KR14,SSPA
L1,SSPA
L10,SSPA
L12,SSPA
L13,SSPA
L14,SSPA
L2,SSPA
L3,SSPA
L5,SSPA
L6,SSPA
L7,SSPA
L9,SSPA
LA29,SSM
LA41,SSM
LA48,SSM
LA52,SSM
LS12,SSPA
LS5,SSPA
LS6,SSPA
LS9,SSPA
N1,SSPA
N10,SSPA
N11,SSPA
N12,SSPA
N13,SSPA
N14,SSPA
N2,SSPA
N3,SSPA
N4,SSPA
N5,SSPA
N6,SSPA
N7,SSPA
N9,SSPA
NA01,SSPA
NA04,SSPA
NA11,SSPA
NA14,SSPA
NA17,SSPA
NA19,SSM
NA22,SSM
NA26,SSM
NA29,SSM
NA30,SSM
NA32,SSM
NA36,SSM
NA41,SSM
NA44,SSM
NA48,SSM
NA52,SSM
NA54,SSM
NT1,SSPA
NT19,SSM
NT2,SSPA
NT22,SSM
NT26,SSM
NT29,SSM
NT3,SSPA
NT32,SSM
NT5,SSPA
NT6,SSPA
Q1,SSPA
Q10,SSPA
Q12,SSPA
Q13,SSPA
Q14,SSPA
Q2,SSPA
Q3,SSPA
Q5,SSPA
Q6,SSPA
Q9,SSPA
QA19,SSM
QA29,SSM
R1,SSPA
RA01,SSPA
RA03,SSPA
RA04,SSPA
RA06,SSPA
RA09,SSPA
S1,SSPA
S10,SSPA
S12,SSPA
S13,SSPA
S2,SSPA
S3,SSPA
S4,SSPA
S5,SSPA
S6,SSPA
S7,SSPA
S9,SSPA
SA19,SSM
SA27,SSM
SA29,SSM
SA32,SSM
SA41,SSM
SA44,SSM
SA48,SSM
SA52,SSM
U1,SSPA
U10,SSPA
U5,SSPA
U6,SSPA
U9,SSPA
UA03,SSPA
UA29,SSM
UA32,SSM
VU02,GRED UTAMA
VU03,GRED UTAMA
VU04,GRED UTAMA
VU05,GRED UTAMA
VU06,GRED UTAMA
VU07,GRED UTAMA
VU5,GRED UTAMA
VU6,GRED UTAMA
VU7,GRED UTAMA
W1,SSPA
W10,SSPA
W12,SSPA
W13,SSPA
W14,SSPA
W2,SSPA
W3,SSPA
W5,SSPA
W6,SSPA
W7,SSPA
W9,SSPA
WA1,SSPA
WA10,SSPA
WA12,SSPA
WA19,SSM
WA22,SSM
WA29,SSM
WA32,SSM
WA36,SSM
WA41,SSM
WA44,SSM
WA48,SSM
WA54,SSM
WA9,SSPA
WK32,SSM
Y10,SSPA
Y4,SSPA
Y5,SSPA
YA05,SSPA
YA10,SSPA
